clean_accuracy,adversarial_accuracy,adversarial_error_rate,robust_accuracy,CE_gaussian_noise,CE_shot_noise,CE_impulse_noise,CE_defocus_blur,CE_glass_blur,CE_motion_blur,CE_zoom_blur,CE_snow,CE_frost,CE_fog,CE_brightness,CE_contrast,CE_elastic_transform,CE_pixelate,CE_jpeg_compression,mCE,mean_corruption_accuracy,mAA,robustness_gap,relative_robustness,std_adversarial,model_arch,bottleneck_width,beta,is_baseline,failed
0.8036,0.095,0.905,0.095,2.49753247280164,2.2092104446390164,2.7428847317932443,1.8873778376021957,2.0530719325362936,2.2815935680391988,2.0339366092934563,2.1229226894255127,2.005300697331948,2.325785475668996,1.597986103797869,3.099951322015409,1.7510104169319713,1.6088309663046505,1.5824692597907495,2.119990968531477,0.660088,0.095,0.7086,0.11821801891488302,0.0,efficientnet_b0,16,0.0,True,False
0.1,0.09,0.91,0.09,5.724373381303884,6.0471709757424055,5.892260424148483,6.184660458833614,5.278830307715262,5.84984163867931,5.654968112477648,6.490963936574749,6.0867932584026345,6.391377561179115,6.5593900010627255,6.137864275805019,5.725424275611475,6.78718430692115,6.246766977588317,6.0705246594697195,0.10002399999999997,0.09,0.010000000000000009,0.8999999999999999,0.0,efficientnet_b0,16,1.0,False,True
0.8026,0.103,0.897,0.103,2.417453924636193,2.1612762944905803,2.759785715745932,1.9477126570415215,2.1763023535973045,2.431164318314125,2.1279402089948056,2.171311153398956,2.092115871881497,2.2219846874437037,1.622819486901322,3.1629018082281286,1.8458546723378244,1.7419512697341646,1.6045162399114603,2.1656727108438347,0.6522333333333333,0.103,0.6996,0.12833291801644656,0.0,efficientnet_b0,16,0.0001,False,False
0.8091,0.122,0.878,0.122,2.3432743350071794,2.1214589702446847,2.623542956560932,1.6653139250722675,1.9126059839200102,2.0689138564566045,1.7688981758573288,2.085399499553085,1.933857231029106,2.1841025811691908,1.5969788214916512,3.017104498144282,1.599876973986441,1.6017870691686482,1.5478413893930232,2.004730417803629,0.678984,0.122,0.6871,0.1507848226424422,0.0,efficientnet_b0,16,1e-05,False,False
0.8022,0.111,0.889,0.111,2.4987114005292193,2.2213681633681635,2.829291983459154,1.83305695972131,2.0169410872695925,2.2546248436430867,1.9658379883489654,2.200645142845736,2.017134853603604,2.3633636619923073,1.6461162620379977,3.1977066285648954,1.7413652340673198,1.6602751456633036,1.5862904324765403,2.1355153191727463,0.6584533333333332,0.111,0.6912,0.13836948391922213,0.0,efficientnet_b0,16,1e-06,False,False
0.8084,0.091,0.909,0.091,2.3599768436862343,2.0996343476343475,2.722634339937128,1.7451220649629147,1.897008431333937,2.1443299423827797,1.9012406679196623,2.065245262579819,1.9356822916666672,2.2696242169104983,1.5576619945267294,3.1013906935365507,1.66444297948969,1.5905122234003815,1.5295325454775672,2.03893592302966,0.6732346666666668,0.091,0.7174,0.11256803562592775,0.0,efficientnet_b0,16,1e-07,False,False
0.7476,0.1,0.9,0.1,2.4869284018572544,2.302268261982548,2.8363980757536256,2.236227000439727,2.1434680005130176,2.5947385079430063,2.37860378917132,2.4854720657816367,2.45650908480596,2.827576874721482,2.116941667015298,3.579106092455509,2.096748012689357,2.051812849431271,1.8953494696042434,2.432543210277683,0.6176773333333333,0.1,0.6476000000000001,0.1337613697164259,0.0,efficientnet_b0,16,0.1,False,False
0.7956,0.095,0.905,0.095,2.5340612833579064,2.2706109855395566,2.850601372825618,1.8065254325829003,2.2227700320775803,2.177060117250462,1.955616509966181,2.2551527114738574,2.1050833766458767,2.350103751181232,1.657091778024304,3.2405473797639273,1.7623347011275343,1.720117984598248,1.6793089477904872,2.1724657576137116,0.6541066666666666,0.095,0.7006,0.11940673705379588,0.0,efficientnet_b0,16,0.01,False,False
0.1,0.09,0.91,0.09,5.7243003886031545,6.04703584060727,5.891826763269944,6.1845810937542485,5.279120162787725,5.849420536305873,5.654826268506016,6.488521222143187,6.083468706687457,6.391177561179115,6.5568126469961685,6.137864275805019,5.724068138790549,6.78718430692115,6.246766977588317,6.069798325996346,0.10013599999999998,0.09,0.010000000000000009,0.8999999999999999,0.0,efficientnet_b0,16,10.0,False,True
0.1,0.09,0.91,0.09,5.724373381303884,6.047095218166648,5.892260424148483,6.184660458833614,5.279120162787725,5.84984163867931,5.654968112477648,6.491703531035124,6.087283004158005,6.391377561179115,6.560091288497908,6.137864275805019,5.725424275611475,6.78718430692115,6.246766977588317,6.070667641146228,0.10000666666666665,0.09,0.010000000000000009,0.8999999999999999,0.0,efficientnet_b0,16,100.0,False,True
0.8006,0.118,0.882,0.118,2.2902914231382523,2.053892213320785,2.6789423808333632,1.737882957860149,1.8516769121843364,2.1595796649844043,1.8362843885715852,2.05899479835053,2.064822472713098,2.417678955901734,1.66383784846898,3.195793886329425,1.7322027250233707,1.6753970878049826,1.5894986186731197,2.067118422277207,0.6701213333333332,0.118,0.6826,0.14738945790657007,0.0,efficientnet_b1,32,0.0,True,False
0.1,0.09,0.91,0.09,5.724373381303884,6.047068934926079,5.8915837965180256,6.184660458833614,5.27877075784418,5.84984163867931,5.654968112477648,6.491481308812903,6.087443780318781,6.391377561179115,6.559645408333777,6.137864275805019,5.72560946079666,6.78718430692115,6.246766977588317,6.070576010689231,0.10002399999999997,0.09,0.010000000000000009,0.8999999999999999,0.0,efficientnet_b1,32,1.0,False,True
0.8024,0.107,0.893,0.107,2.39137727251678,2.153582377725235,2.542138603073803,1.7828242161739911,1.9433128463714116,2.030303251488916,1.9640435206896343,2.128684724147175,2.145403943607069,2.372771273707598,1.6656195081558078,3.2155251288730327,1.7390619601339872,1.6209878060535956,1.6031877645530561,2.0865882798180726,0.668548,0.107,0.6954,0.13334995014955134,0.0,efficientnet_b1,32,0.0001,False,False
0.796,0.108,0.892,0.108,2.4623489917731143,2.2233392193392194,2.9188484182550027,1.847349319934818,1.928285493082522,2.17057115606785,2.0358722514689247,2.1430355059019655,2.078955897002772,2.3806279355387208,1.6824375264779445,3.0905081883175667,1.7918661033241172,1.7024430868838767,1.6111066937257603,2.1378397191396115,0.658764,0.108,0.6880000000000001,0.135678391959799,0.0,efficientnet_b1,32,1e-05,False,False
0.794,0.112,0.888,0.112,2.4875014218396756,2.2519220927078067,2.883095444448779,1.8923085280955754,2.3017821922760087,2.2008088762311817,2.022286813209372,2.2116317337690856,2.126132861226611,2.4524648057723124,1.6642126318968284,3.1937699067666405,1.8073410684453648,1.7098659013987967,1.6501535371441167,2.190351854348543,0.6507733333333334,0.112,0.682,0.14105793450881612,0.0,efficientnet_b1,32,1e-06,False,False
0.7994,0.101,0.899,0.101,2.5473819955399852,2.2985577312005887,2.9514728754128976,1.7896150295522837,2.1455881974010667,2.0649143010800155,1.8844429081055434,2.1625390119636307,2.014913591476091,2.357156262661698,1.646266260042384,3.2214703287018316,1.7222704930945256,1.7174311847996058,1.6754923793713101,2.146634170026897,0.6575933333333333,0.101,0.6984,0.1263447585689267,0.0,efficientnet_b1,32,1e-07,False,False
0.0997,0.09,0.91,0.09,5.725820902873999,6.049153605082177,5.893661286011962,6.186537384082632,5.281333367142698,5.851370483518765,5.657214285442746,6.492435193265233,6.087610446985448,6.391577561179115,6.560279967743192,6.139151909766224,5.7273693855585455,6.788692570100466,6.248232667407628,6.07202940107739,0.0998,0.09,0.0097,0.9027081243731193,0.0,efficientnet_b1,32,0.1,False,True
0.7939,0.131,0.869,0.131,2.548139942582151,2.3167908539337114,2.66940561496689,1.8150463748886778,1.9399681598418304,2.0722026772225792,1.9690386398610755,2.080867279514513,2.070470634095634,2.3836344259134594,1.7018985353158669,3.17094690038643,1.7424189893227156,1.668203743868218,1.6167368920496912,2.1177179775842294,0.6630986666666667,0.131,0.6629,0.16500818742914725,0.0,efficientnet_b1,32,0.01,False,False
0.1,0.09,0.91,0.09,5.724373381303884,6.0471709757424055,5.892260424148483,6.184660458833614,5.279120162787725,5.84984163867931,5.654968112477648,6.492027029999927,6.087610446985448,6.391377561179115,6.560091288497908,6.137864275805019,5.725424275611475,6.78718430692115,6.246766977588317,6.070716087770761,0.09999999999999998,0.09,0.010000000000000009,0.8999999999999999,0.0,efficientnet_b1,32,10.0,False,True
0.1,0.09,0.91,0.09,5.724373381303884,6.0471709757424055,5.892260424148483,6.184660458833614,5.279120162787725,5.84984163867931,5.654968112477648,6.492027029999927,6.087610446985448,6.391377561179115,6.560091288497908,6.137864275805019,5.725424275611475,6.78718430692115,6.246766977588317,6.070716087770761,0.09999999999999998,0.09,0.010000000000000009,0.8999999999999999,0.0,efficientnet_b1,32,100.0,False,True
