model_arch,bottleneck_width,beta,mean_acc,std_acc,mean_val_loss,mean_compression
efficientnet_b0,2048,100.0,10.343,0.586,2.299,8.439
efficientnet_b1,16,1e-08,74.82,0.17,0.774,8.232
efficientnet_b1,16,1e-07,75.877,0.682,0.736,8.218
efficientnet_b1,16,1e-06,75.93,0.562,0.752,8.329
efficientnet_b1,16,1e-05,75.503,1.386,0.749,8.208
efficientnet_b1,16,0.0001,75.383,2.305,0.749,8.235
efficientnet_b1,16,0.001,75.437,0.452,0.748,8.218
efficientnet_b1,16,0.01,60.08,27.111,1.103,8.285
efficientnet_b1,16,0.1,15.32,8.477,2.182,8.331
efficientnet_b1,16,1.0,10.437,0.862,2.301,8.668
efficientnet_b1,16,10.0,10.457,0.365,2.3,8.525
efficientnet_b1,16,100.0,10.23,0.234,2.302,8.431
efficientnet_b1,32,1e-08,78.753,1.101,0.634,8.289
efficientnet_b1,32,1e-07,78.54,0.383,0.658,8.33
efficientnet_b1,32,1e-06,78.603,1.013,0.642,8.291
efficientnet_b1,32,1e-05,78.64,1.024,0.642,8.272
efficientnet_b1,32,0.0001,79.22,0.693,0.635,8.274
efficientnet_b1,32,0.001,76.15,3.56,0.71,8.397
efficientnet_b1,32,0.01,76.037,2.626,0.715,8.247
efficientnet_b1,32,0.1,34.307,21.414,1.749,8.395
efficientnet_b1,32,1.0,10.503,0.444,2.299,8.577
efficientnet_b1,32,10.0,10.547,0.528,2.299,8.41
efficientnet_b1,32,100.0,10.117,0.111,2.302,8.578
efficientnet_b1,64,1e-08,80.007,0.888,0.587,8.371
efficientnet_b1,64,1e-07,80.16,0.398,0.589,8.312
efficientnet_b1,64,1e-06,80.017,0.951,0.597,8.397
efficientnet_b1,64,1e-05,79.617,1.045,0.612,8.282
efficientnet_b1,64,0.0001,79.65,0.852,0.604,8.466
efficientnet_b1,64,0.001,80.15,0.367,0.587,8.317
efficientnet_b1,64,0.01,79.213,0.613,0.643,8.44
efficientnet_b1,64,0.1,41.103,22.697,1.573,8.381
efficientnet_b1,64,1.0,11.227,1.996,2.284,8.492
efficientnet_b1,64,10.0,10.067,0.074,2.302,8.101
efficientnet_b1,64,100.0,10.063,0.093,2.303,8.576
efficientnet_b1,128,1e-08,80.11,0.372,0.591,8.287
efficientnet_b1,128,1e-07,80.437,0.363,0.584,8.32
efficientnet_b1,128,1e-06,80.163,0.447,0.598,8.333
efficientnet_b1,128,1e-05,79.933,1.062,0.594,8.286
efficientnet_b1,128,0.0001,79.727,1.148,0.606,8.338
efficientnet_b1,128,0.001,80.04,0.745,0.602,8.298
efficientnet_b1,128,0.01,79.92,1.301,0.594,8.254
efficientnet_b1,128,0.1,64.313,7.904,1.028,8.313
efficientnet_b1,128,1.0,10.557,0.546,2.299,8.513
efficientnet_b1,128,10.0,10.0,0.0,2.303,8.746
efficientnet_b1,128,100.0,10.197,0.208,2.301,8.332
efficientnet_b1,256,1e-08,80.197,0.718,0.589,8.392
efficientnet_b1,256,1e-07,80.83,0.822,0.586,8.274
efficientnet_b1,256,1e-06,80.393,0.335,0.576,8.267
efficientnet_b1,256,1e-05,80.78,0.34,0.574,8.271
efficientnet_b1,256,0.0001,80.483,0.382,0.573,8.296
efficientnet_b1,256,0.001,80.053,0.438,0.592,8.283
efficientnet_b1,256,0.01,80.623,0.425,0.578,8.312
efficientnet_b1,256,0.1,61.81,1.927,1.088,8.162
efficientnet_b1,256,1.0,10.57,0.439,2.297,8.514
efficientnet_b1,256,10.0,10.693,0.878,2.291,8.648
efficientnet_b1,256,100.0,10.237,0.41,2.298,8.746
efficientnet_b1,512,1e-08,80.393,0.585,0.573,8.24
efficientnet_b1,512,1e-07,79.633,1.093,0.594,8.249
efficientnet_b1,512,1e-06,79.99,0.61,0.593,8.272
efficientnet_b1,512,1e-05,79.54,0.165,0.602,8.259
efficientnet_b1,512,0.0001,80.183,1.063,0.584,8.28
efficientnet_b1,512,0.001,80.26,0.693,0.588,8.275
efficientnet_b1,512,0.01,79.597,0.622,0.599,8.283
efficientnet_b1,512,0.1,71.847,2.749,0.823,8.33
efficientnet_b1,512,1.0,10.77,0.48,2.294,8.497
efficientnet_b1,512,10.0,10.097,0.057,2.302,7.951
efficientnet_b1,512,100.0,11.407,1.635,2.284,8.746
efficientnet_b1,1024,1e-08,79.897,0.566,0.589,8.255
efficientnet_b1,1024,1e-07,80.43,0.451,0.576,8.289
efficientnet_b1,1024,1e-06,80.24,0.318,0.581,8.258
efficientnet_b1,1024,1e-05,79.95,0.29,0.581,8.235
efficientnet_b1,1024,0.0001,80.717,0.238,0.574,8.304
efficientnet_b1,1024,0.001,81.053,0.146,0.566,8.298
efficientnet_b1,1024,0.01,80.797,0.468,0.571,8.262
efficientnet_b1,1024,0.1,74.54,4.844,0.766,8.396
efficientnet_b1,1024,1.0,14.837,8.351,2.181,8.266
efficientnet_b1,1024,10.0,10.127,0.17,2.301,8.284
efficientnet_b1,1024,100.0,10.237,0.41,2.304,8.663
efficientnet_b1,2048,1e-08,80.203,0.35,0.589,8.278
efficientnet_b1,2048,1e-07,80.087,0.387,0.59,8.291
efficientnet_b1,2048,1e-06,79.577,1.176,0.595,8.244
efficientnet_b1,2048,1e-05,79.517,0.837,0.593,8.24
efficientnet_b1,2048,0.0001,79.973,0.126,0.586,8.221
efficientnet_b1,2048,0.001,79.413,0.392,0.602,8.312
efficientnet_b1,2048,0.01,79.903,0.327,0.589,8.236
efficientnet_b1,2048,0.1,74.54,2.14,0.758,8.327
efficientnet_b1,2048,1.0,16.123,7.905,2.173,8.353
efficientnet_b1,2048,10.0,10.43,0.537,2.298,8.262
efficientnet_b1,2048,100.0,10.413,0.203,2.3,8.681
efficientnet_b2,16,1e-08,75.66,1.578,0.744,8.219
efficientnet_b2,16,1e-07,74.103,1.608,0.785,8.335
efficientnet_b2,16,1e-06,76.067,0.922,0.747,8.509
efficientnet_b2,16,1e-05,75.45,0.72,0.755,8.225
efficientnet_b2,16,0.0001,76.523,0.156,0.723,8.241
efficientnet_b2,16,0.001,75.847,0.334,0.74,8.524
efficientnet_b2,16,0.01,50.607,15.568,1.339,8.135
efficientnet_b2,16,0.1,10.057,0.116,2.303,8.363
