model_arch,bottleneck_width,beta,mean_acc,std_acc,mean_val_loss,mean_compression
vgg11,16,1e-06,32.407,19.408,1.802,8.746
vgg11,16,1e-05,31.557,19.226,1.811,8.746
vgg11,16,0.0001,65.873,12.404,1.19,8.746
vgg11,16,0.001,10.0,0.0,2.303,8.746
vgg11,16,0.01,10.0,0.0,2.303,8.746
vgg11,16,0.1,10.0,0.0,2.303,8.746
vgg11,16,1.0,10.0,0.0,2.303,8.746
vgg11,16,10.0,10.0,0.0,2.303,8.746
vgg11,16,100.0,10.0,0.0,2.303,8.746
vgg11,32,0.0,59.417,42.812,1.298,8.746
vgg11,32,1e-08,34.71,42.799,1.821,8.746
vgg11,32,1e-07,83.22,1.801,0.774,8.746
vgg11,32,1e-06,78.017,7.307,0.889,8.746
vgg11,32,1e-05,83.637,1.029,0.754,8.746
vgg11,32,0.0001,82.587,2.152,0.807,8.746
vgg11,32,0.001,49.413,37.546,1.562,8.746
vgg11,32,0.01,10.0,0.0,2.303,8.746
vgg11,32,0.1,10.0,0.0,2.302,8.746
vgg11,32,1.0,10.0,0.0,2.303,8.746
vgg11,32,10.0,10.0,0.0,1330.918,8.746
vgg11,32,100.0,10.0,0.0,2.303,8.746
vgg11,64,0.0,85.41,0.209,0.767,8.746
vgg11,64,1e-08,85.317,0.42,0.735,8.746
vgg11,64,1e-07,85.503,0.407,0.768,8.746
vgg11,64,1e-06,85.13,0.372,0.773,8.746
vgg11,64,1e-05,84.327,1.25,0.761,8.746
vgg11,64,0.0001,83.623,3.191,0.85,8.746
vgg11,64,0.001,53.85,39.174,1.382,8.746
vgg11,64,0.01,10.0,0.0,2.414,8.746
vgg11,64,0.1,10.0,0.0,2.303,8.746
vgg11,64,1.0,10.0,0.0,2.303,8.746
vgg11,64,10.0,10.0,0.0,2.304,8.746
vgg11,64,100.0,10.0,0.0,2.303,8.746
vgg11,128,0.0,85.637,0.33,0.78,8.746
vgg11,128,1e-08,85.823,0.205,0.754,8.746
vgg11,128,1e-07,85.65,0.128,0.738,8.746
vgg11,128,1e-06,86.003,0.2,0.761,8.746
vgg11,128,1e-05,85.653,0.278,0.739,8.746
vgg11,128,0.0001,85.673,0.464,0.758,8.746
vgg11,128,0.001,85.81,0.149,0.742,8.746
vgg11,128,0.01,10.0,0.0,2.303,8.664
vgg11,128,0.1,10.0,0.0,2.303,8.746
vgg11,128,1.0,10.0,0.0,2.303,8.746
vgg11,128,10.0,10.0,0.0,2.304,8.746
vgg11,128,100.0,10.0,0.0,2.303,8.746
vgg11,256,0.0,85.603,0.391,0.75,8.578
vgg11,256,1e-08,85.687,0.281,0.743,8.578
vgg11,256,1e-07,85.733,0.631,0.746,8.564
vgg11,256,1e-06,85.68,0.33,0.733,8.483
vgg11,256,1e-05,85.467,0.477,0.724,8.563
vgg11,256,0.0001,85.533,0.458,0.727,8.592
vgg11,256,0.001,84.877,0.728,0.735,8.593
vgg11,256,0.01,59.137,42.593,1.228,8.746
vgg11,256,0.1,10.013,0.023,2.306,8.746
vgg11,256,1.0,10.0,0.0,2.395,8.746
vgg11,256,10.0,10.0,0.0,2.303,8.746
vgg11,256,100.0,10.0,0.0,2.306,8.746
vgg11,512,0.0,85.717,0.147,0.735,8.298
vgg11,512,1e-08,85.46,0.501,0.703,8.344
vgg11,512,1e-07,85.513,0.055,0.727,8.285
vgg11,512,1e-06,85.233,0.067,0.732,8.344
vgg11,512,1e-05,85.52,0.305,0.695,8.377
vgg11,512,0.0001,85.737,0.07,0.708,8.297
vgg11,512,0.001,60.343,43.599,1.254,7.789
vgg11,512,0.01,35.26,43.752,1.777,8.746
vgg11,512,0.1,10.0,0.0,2.303,8.746
vgg11,512,1.0,10.79,1.368,2.303,8.746
vgg11,512,10.0,10.397,0.687,29.949,8.746
